0,62,Model-SolarPanel,0.621667,7.67
0,63,Model-MPPT,0,0,0,0
0,64,Model-Sun,Ir,
1,62,Model-SolarPanel,out_mppt_voltage_1,6.21667
1,62,Model-SolarPanel,out_mppt_voltage_2,6.21667
1,62,Model-SolarPanel,out_mppt_voltage_3,6.21667
1,62,Model-SolarPanel,out_mppt_voltage_4,6.21667
1,62,Model-SolarPanel,0.59,8.18654
1,63,Model-MPPT,6.21667,6.21667,6.21667,6.21667
1,64,Model-Sun,out_temperature,20
1,64,Model-Sun,out_irridiance,800
1,64,Model-Sun,26,21
2,62,Model-SolarPanel,out_mppt_voltage_1,5.095
2,62,Model-SolarPanel,out_mppt_voltage_2,3.97333
2,62,Model-SolarPanel,out_mppt_voltage_3,3.97333
2,62,Model-SolarPanel,out_mppt_voltage_4,6.21667
2,62,Model-SolarPanel,0.46,0.20975
2,63,Model-MPPT,11.3117,10.19,11.3117,12.4333
2,64,Model-Sun,out_temperature,26
2,64,Model-Sun,out_irridiance,21
2,64,Model-Sun,28,148
3,62,Model-SolarPanel,out_mppt_voltage_1,3.72
3,62,Model-SolarPanel,out_mppt_voltage_2,4.81
3,62,Model-SolarPanel,out_mppt_voltage_3,5.9
3,62,Model-SolarPanel,out_mppt_voltage_4,4.81
3,62,Model-SolarPanel,0.53,1.49151
3,63,Model-MPPT,15.0317,15,15.0317,17.2433
3,64,Model-Sun,out_temperature,28
3,64,Model-Sun,out_irridiance,148
3,64,Model-Sun,30,314
4,62,Model-SolarPanel,out_mppt_voltage_1,4.6
4,62,Model-SolarPanel,out_mppt_voltage_2,3.64
4,62,Model-SolarPanel,out_mppt_voltage_3,3.64
4,62,Model-SolarPanel,out_mppt_voltage_4,3.64
4,62,Model-SolarPanel,0.56,3.15371
4,63,Model-MPPT,19.6317,18.64,19.6317,20.8833
4,64,Model-Sun,out_temperature,30
4,64,Model-Sun,out_irridiance,314
4,64,Model-Sun,34,478
5,62,Model-SolarPanel,out_mppt_voltage_1,5.3
5,62,Model-SolarPanel,out_mppt_voltage_2,4.27
5,62,Model-SolarPanel,out_mppt_voltage_3,5.3
5,62,Model-SolarPanel,out_mppt_voltage_4,5.3
5,62,Model-SolarPanel,0.57,4.84363
5,63,Model-MPPT,24.9317,22.91,24.9317,26.1833
5,64,Model-Sun,out_temperature,34
5,64,Model-Sun,out_irridiance,478
5,64,Model-Sun,37,706
6,62,Model-SolarPanel,out_mppt_voltage_1,5.6
6,62,Model-SolarPanel,out_mppt_voltage_2,4.54
6,62,Model-SolarPanel,out_mppt_voltage_3,4.54
6,62,Model-SolarPanel,out_mppt_voltage_4,4.54
6,62,Model-SolarPanel,0.58,7.20459
6,63,Model-MPPT,30.5317,27.45,30.5317,30.7233
6,64,Model-Sun,out_temperature,37
6,64,Model-Sun,out_irridiance,706
6,64,Model-Sun,39,812
7,62,Model-SolarPanel,out_mppt_voltage_1,4.63
7,62,Model-SolarPanel,out_mppt_voltage_2,4.63
7,62,Model-SolarPanel,out_mppt_voltage_3,5.7
7,62,Model-SolarPanel,out_mppt_voltage_4,3.56
7,62,Model-SolarPanel,0.59,8.2156
7,63,Model-MPPT,35.1617,32.08,35.1617,34.2833
7,64,Model-Sun,out_temperature,39
7,64,Model-Sun,out_irridiance,812
7,64,Model-Sun,40,841
8,62,Model-SolarPanel,out_mppt_voltage_1,2.56
8,62,Model-SolarPanel,out_mppt_voltage_2,4.72
